datetime,total_energy,coal,petroleum,natural gas,bioenergy & waste,elec_nuclear,elec_renewable,elec_import,temp,wind,sun,rain
1991-01-01,,,,,,,,,3.7,,,
1991-02-01,,,,,,,,,2.4,,,
1991-03-01,,,,,,,,,7.8,,,
1991-04-01,,,,,,,,,8.0,,,
1991-05-01,,,,,,,,,11.0,,,
1991-06-01,,,,,,,,,12.2,,,
1991-07-01,,,,,,,,,17.1,,,
1991-08-01,,,,,,,,,17.0,,,
1991-09-01,,,,,,,,,14.7,,,
1991-10-01,,,,,,,,,10.3,,,
1991-11-01,,,,,,,,,7.0,,,
1991-12-01,,,,,,,,,5.0,,,
1992-01-01,,,,,,,,,4.0,,,
1992-02-01,,,,,,,,,5.9,,,
1992-03-01,,,,,,,,,7.4,,,
1992-04-01,,,,,,,,,8.6,,,
1992-05-01,,,,,,,,,13.1,,,
1992-06-01,,,,,,,,,15.5,,,
1992-07-01,,,,,,,,,16.1,,,
1992-08-01,,,,,,,,,15.3,,,
1992-09-01,,,,,,,,,13.2,,,
1992-10-01,,,,,,,,,7.8,,,
1992-11-01,,,,,,,,,7.5,,,
1992-12-01,,,,,,,,,4.1,,,
1993-01-01,,,,,,,,,6.0,,,
1993-02-01,,,,,,,,,5.4,,,
1993-03-01,,,,,,,,,6.6,,,
1993-04-01,,,,,,,,,9.3,,,
1993-05-01,,,,,,,,,11.2,,,
1993-06-01,,,,,,,,,14.4,,,
1993-07-01,,,,,,,,,15.1,,,
1993-08-01,,,,,,,,,14.4,,,
1993-09-01,,,,,,,,,12.5,,,
1993-10-01,,,,,,,,,8.5,,,
1993-11-01,,,,,,,,,5.0,,,
1993-12-01,,,,,,,,,5.3,,,
1994-01-01,,,,,,,,,5.2,,,
1994-02-01,,,,,,,,,3.5,,,
1994-03-01,,,,,,,,,7.6,,,
1994-04-01,,,,,,,,,8.1,,,
1994-05-01,,,,,,,,,10.4,,,
1994-06-01,,,,,,,,,14.3,,,
1994-07-01,,,,,,,,,17.6,,,
1994-08-01,,,,,,,,,15.9,,,
1994-09-01,,,,,,,,,12.7,,,
1994-10-01,,,,,,,,,10.2,,,
1994-11-01,,,,,,,,,10.1,,,
1994-12-01,,,,,,,,,6.4,,,
1995-01-01,21.030000000000005,4.32,6.16,8.9,0.14,1.51,,,4.9,,,
1995-02-01,20.0,4.79,6.32,7.16,0.14,1.59,,,6.7,,,
