datetime,unadjusted total
2001-01-01,24.53
2001-02-01,22.3
2001-03-01,23.62
2001-04-01,19.31
2001-05-01,17.42
2001-06-01,16.34
2001-07-01,15.95
2001-08-01,15.99
2001-09-01,18.4
2001-10-01,17.929999999999996
2001-11-01,20.8
2001-12-01,24.26
2002-01-01,23.25
2002-02-01,20.85
2002-03-01,22.49
2002-04-01,18.63
2002-05-01,17.1
2002-06-01,16.279999999999998
2002-07-01,16.67
2002-08-01,15.22
2002-09-01,16.910000000000004
2002-10-01,18.72
2002-11-01,20.300000000000004
2002-12-01,23.19
2003-01-01,23.17
2003-02-01,22.210000000000004
2003-03-01,21.590000000000003
2003-04-01,19.01
2003-05-01,17.72
2003-06-01,16.159999999999997
2003-07-01,14.77
2003-08-01,15.83
2003-09-01,17.169999999999998
2003-10-01,19.37
2003-11-01,20.57
2003-12-01,24.290000000000003
2004-01-01,23.98
2004-02-01,20.860000000000003
2004-03-01,22.96
2004-04-01,18.99
2004-05-01,17.779999999999998
2004-06-01,15.48
2004-07-01,17.09
2004-08-01,15.26
2004-09-01,16.52
2004-10-01,20.08
2004-11-01,20.879999999999995
2004-12-01,23.77
2005-01-01,24.28
2005-02-01,22.5
2005-03-01,22.42
2005-04-01,20.000000000000004
2005-05-01,17.88
2005-06-01,16.57
2005-07-01,15.85
2005-08-01,15.79
2005-09-01,16.780000000000005
2005-10-01,18.29
2005-11-01,22.24
2005-12-01,23.72
2006-01-01,23.81
2006-02-01,22.629999999999995
2006-03-01,24.5
2006-04-01,19.0
2006-05-01,18.130000000000003
2006-06-01,15.63
2006-07-01,15.999999999999998
2006-08-01,15.94
2006-09-01,15.86
2006-10-01,17.65
2006-11-01,21.42
2006-12-01,22.5
2007-01-01,22.99
2007-02-01,20.38
2007-03-01,21.67
2007-04-01,17.34
2007-05-01,17.95
2007-06-01,15.82
2007-07-01,16.119999999999997
2007-08-01,16.159999999999997
2007-09-01,16.47
2007-10-01,18.82
2007-11-01,20.75
2007-12-01,22.99
2008-01-01,22.599999999999994
2008-02-01,21.37
2008-03-01,21.89
2008-04-01,20.17
2008-05-01,16.27
2008-06-01,15.5
2008-07-01,15.28
2008-08-01,15.25
2008-09-01,16.580000000000002
2008-10-01,18.770000000000003
2008-11-01,19.700000000000003
2008-12-01,22.25
2009-01-01,22.630000000000003
2009-02-01,20.62
2009-03-01,19.83
2009-04-01,16.98
2009-05-01,15.62
2009-06-01,14.53
2009-07-01,14.49
2009-08-01,14.66
2009-09-01,14.86
2009-10-01,17.090000000000003
2009-11-01,18.57
2009-12-01,21.84
2010-01-01,23.33
2010-02-01,21.290000000000003
2010-03-01,20.46
2010-04-01,17.13
2010-05-01,16.339999999999996
2010-06-01,14.27
2010-07-01,14.32
2010-08-01,14.51
2010-09-01,15.099999999999998
2010-10-01,17.589999999999996
2010-11-01,20.58
2010-12-01,24.410000000000004
2011-01-01,21.93
2011-02-01,19.36
2011-03-01,19.66
2011-04-01,15.7
2011-05-01,14.89
2011-06-01,14.69
2011-07-01,14.15
2011-08-01,14.04
2011-09-01,14.64
2011-10-01,16.64
2011-11-01,18.06
2011-12-01,19.87
2012-01-01,20.25
2012-02-01,20.44
2012-03-01,18.4
2012-04-01,17.34
2012-05-01,16.1
2012-06-01,14.530000000000005
2012-07-01,14.13
2012-08-01,14.1
2012-09-01,14.87
2012-10-01,17.799999999999997
2012-11-01,18.6
2012-12-01,21.22
2013-01-01,20.880000000000003
2013-02-01,19.83
2013-03-01,20.88000000000001
2013-04-01,17.85
2013-05-01,15.81
2013-06-01,13.97
2013-07-01,13.620000000000005
2013-08-01,13.93
2013-09-01,14.87
2013-10-01,16.350000000000005
2013-11-01,18.97
2013-12-01,19.28
2014-01-01,19.62
2014-02-01,18.270000000000003
2014-03-01,17.81
2014-04-01,15.650000000000002
2014-05-01,14.640000000000002
2014-06-01,13.720000000000002
2014-07-01,13.33
2014-08-01,13.749999999999998
2014-09-01,14.08
2014-10-01,15.82
2014-11-01,17.419999999999998
2014-12-01,19.44
2015-01-01,20.41
2015-02-01,19.26
2015-03-01,18.78
2015-04-01,15.88
2015-05-01,14.77
2015-06-01,13.63
2015-07-01,13.48
2015-08-01,13.59
2015-09-01,14.08
2015-10-01,16.31
2015-11-01,17.14
2015-12-01,17.689999999999998
2016-01-01,18.98
2016-02-01,18.380000000000003
2016-03-01,18.480000000000004
2016-04-01,16.18
2016-05-01,14.19
2016-06-01,13.59
2016-07-01,13.16
2016-08-01,12.99
2016-09-01,13.48
2016-10-01,15.929999999999998
2016-11-01,18.24
2016-12-01,18.84
2017-01-01,19.85
